직종,성명,선정년도,대표사업장명,지역,주소,대표품목,위도,경도,네이버플레이스
제과·제빵,김영모,2012,김영모과자점 반포점,서울,"서울특별시 서초구 신반포로 100(반포동, 반포래미안퍼스티지아파트 상가) 111호",베이커리,37.5030493,126.9956925,https://map.naver.com/p/entry/place/18293979
제과·제빵,김영모,2012,김영모과자점 서초그랑자이점,서울,"서울특별시 서초구 효령로 403 (서초동, 서초 그랑몰) 102호",베이커리,37.4890028,127.0276678,https://map.naver.com/p/entry/place/1087115109
요리,왕철주,2024,강강술래 잠실점,서울,"서울특별시 송파구 잠실동 40-1, 롯데백화점 지하 1층","한우, 양념갈비, 한식 반찬, 간편조리식, F&B 상품 등",37.5120162,127.0992764,https://map.naver.com/p/entry/place/1255008750
제과·제빵,서정웅,2005,코른베르그 과자점,서울,서울특별시 송파구 중대로 24,베이커리,37.4910434,127.117262,https://map.naver.com/p/entry/place/19877351
제과·제빵,안창현,2009,안스베이커리 롯데백화점 영등포점,서울,서울특별시 영등포구 경인로 846 지하 1층,베이커리,37.5154709,126.9066823,https://map.naver.com/p/entry/place/35563006
요리,왕철주,2024,강강술래 당산점,서울,서울특별시 영등포구 선유로 251 2층,"한우, 양념갈비, 한식 반찬, 간편조리식, F&B 상품 등",37.5352083,126.8967269,https://map.naver.com/p/entry/place/1825823290
요리,천덕상,2022,훈장골영등포점,서울,서울특별시 영등포구 신길동 192-188,"양념갈비, 함흥냉면",37.5117142,126.9132965,https://map.naver.com/p/entry/place/954438010
요리,박효남,2014,콩두50 (CONGDU50),서울,"서울특별시 영등포구 여의대로 24, FKI 타워 50층 콩두50",한식,37.5223853,126.9199343,https://map.naver.com/p/entry/place/2079825487
제과·제빵,안창현,2009,안스베이커리 롯데몰 은평점,서울,서울특별시 은평구 통일로 1050 롯데몰 은평점 1층,베이커리,37.6380216,126.9182367,https://map.naver.com/p/entry/place/875446252
요리,김송기,2016,㈜호텔롯데,서울,서울특별시 중구 을지로 30,"호텔업 ( 레스토랑, 연회 등)",37.5653,126.980979,https://map.naver.com/p/entry/place/11583194
제과·제빵,이석원,2024,랑콩뜨레 달동점,울산,"울산광역시 남구 도산로 101번길 4-2, 1~3층",베이커리,35.5315523,129.3258542,https://map.naver.com/p/entry/place/1563625884
제과·제빵,이석원,2024,랑콩뜨레 현대백화점 울산점,울산,울산광역시 남구 삼산로 261 현대백화점 B1,베이커리,35.5395842,129.3360677,https://map.naver.com/p/entry/place/899780715
제과·제빵,이석원,2024,랑콩뜨레 현대백화점 울산동구점,울산,울산광역시 동구 방어진 899 현대백화점 B1,베이커리,35.5213786,129.4313264,https://map.naver.com/p/entry/place/1048968544
제과·제빵,이석원,2024,랑콩뜨레,울산,"울산광역시 북구 박상진6로 7, 1~4층",베이커리,35.5995077,129.3607455,https://map.naver.com/p/entry/place/1074313676
제과·제빵,이석원,2024,랑콩뜨레 울산구영점,울산,울산광역시 울주군 범서읍 점촌3길 5,베이커리,35.5732752,129.2413187,https://map.naver.com/p/entry/place/35570697
요리,서정희,2012,서생이화,울산,울산광역시 울주군 서생면 용연길 160,울주 서생 특산물인 배를 활용한 특별한 한정식,35.3576125,129.3078858,https://map.naver.com/p/entry/place/2050302398
요리,천덕상,2022,훈장골 계양점,인천,인천광역시 계양구 오조산로 15,"양념갈비, 함흥냉면",37.5321645,126.7379708,https://map.naver.com/p/entry/place/35772707
요리,천덕상,2022,훈장골 논현점,인천,"인천광역시 남동구 논현로 16 1, 2, 3층 훈장골","양념갈비, 함흥냉면",37.4032623,126.7084803,https://map.naver.com/p/entry/place/31141124
제과·제빵,안창현,2009,안스베이커리,인천,인천광역시 남동구 인주대로 664 안스베이커리,베이커리,37.4491461,126.7108516,https://map.naver.com/p/entry/place/11851611
제과·제빵,안창현,2009,안스베이커리 앨리웨이 인천점,인천,인천광역시 미추홀구 숙골로87번길 5 인천광역시 앨리웨이 라이프동 1층,베이커리,37.4691209,126.6634756,https://map.naver.com/p/entry/place/1824965948
요리,천덕상,2022,촌장골 당하점,인천,인천광역시 서구 당하동925-7,"양념갈비, 함흥냉면",37.5929681,126.6740816,https://map.naver.com/p/entry/place/20714820
요리,천덕상,2022,촌장골 서구청점,인천,인천광역시 서구 심곡동 280-2번지,"양념갈비, 함흥냉면",37.5440322,126.6771384,https://map.naver.com/p/entry/place/16687511
제과·제빵,안창현,2009,안스베이커리 송도점,인천,인천광역시 연수구 센트럴로 160,베이커리,37.391605,126.6449786,https://map.naver.com/p/entry/place/37170365
제과·제빵,안창현,2009,안스베이커리 연수점,인천,인천광역시 연수구 청명로3번길 1,베이커리,37.4163281,126.6739214,https://map.naver.com/p/entry/place/33199474
제과·제빵,마옥천,2023,㈜베비에르 LF스퀘어 광양점,전남,"전라남도 광양시 광양읍 순광로 466, LF스퀘어 1층 (덕례리 18",베이커리,34.962159,127.5652847,https://map.naver.com/p/entry/place/1221824674
제과·제빵,마옥천,2023,㈜베비에르 담양점,전남,전라남도 담양군 담양읍 죽향대로 1300 (남산리 206,베이커리,35.3171968,126.9918851,https://map.naver.com/p/entry/place/1448218849
제과·제빵,마옥천,2023,㈜베비에르 롯데아울렛 남악점,전남,"전라남도 무안군 삼향읍 남악로162번길 80, 1층 (남악리 26",베이커리,34.8025631,126.4650796,https://map.naver.com/p/entry/place/1360815074
제과·제빵,마옥천,2023,㈜베비에르 르꼬뮤네,전남,전라남도 순천시 왕지동 423-2,베이커리,34.9753623,127.5362293,https://map.naver.com/p/entry/place/1872690809
제과·제빵,마옥천,2023,㈜베비에르 롯데백화점 전주점,전북,"전라북도 전주시 완산구 온고을로 2, 지하 1층 (서신동 9",베이커리,35.8343672,127.1218516,https://map.naver.com/p/entry/place/1026084001
요리,천덕상,2022,훈장골 아산점,충남,충청남도 아산시 탕정면 이순신대로 745,"양념갈비, 함흥냉면",36.7944027,127.0842455,https://map.naver.com/p/entry/place/2036885143
제과·제빵,홍종흔,2012,홍종흔베이커리 천안점,충남,충청남도 천안시 동남구 유량로240-1,베이커리,36.8126544,127.1832685,https://map.naver.com/p/entry/place/2003870379
요리,남대현,2020,대한민국명장국밥,충북,충청북도 청주시 청원구 오창읍 중심상업로 52-5,"소고기 국밥, 돼지국밥 등",36.7157021,127.4298779,https://map.naver.com/p/entry/place/1685260256
